-0.03938,-0.16335,-0.19479
-0.075058,-0.062629,-0.19479
-0.058483,0.038096,-0.19479
-0.049424,0.13882,-0.19479
-0.054478,0.23955,-0.19479
-0.047652,0.34027,-0.19479
-0.058603,0.441,-0.19479
-0.086981,0.54172,-0.19479
-0.069367,0.64245,-0.19479
-0.0806,0.74317,-0.19479
-0.051474,-0.16335,-0.1522
-0.077666,-0.062629,-0.1522
-0.057949,0.038096,-0.1522
-0.048408,0.13882,-0.1522
-0.051723,0.23955,-0.1522
-0.050477,0.34027,-0.1522
-0.054514,0.441,-0.1522
-0.06779,0.54172,-0.1522
-0.066761,0.64245,-0.1522
-0.080619,0.74317,-0.1522
-0.062463,-0.16335,-0.10961
-0.077987,-0.062629,-0.10961
-0.056509,0.038096,-0.10961
-0.047263,0.13882,-0.10961
-0.048467,0.23955,-0.10961
-0.05047,0.34027,-0.10961
-0.053363,0.441,-0.10961
-0.054613,0.54172,-0.10961
-0.062833,0.64245,-0.10961
-0.09083,0.74317,-0.10961
-0.070871,-0.16335,-0.067024
-0.077129,-0.062629,-0.067024
-0.055358,0.038096,-0.067024
-0.047271,0.13882,-0.067024
-0.045452,0.23955,-0.067024
-0.044976,0.34027,-0.067024
-0.051767,0.441,-0.067024
-0.048937,0.54172,-0.067024
-0.063918,0.64245,-0.067024
-0.088303,0.74317,-0.067024
-0.089489,-0.16335,-0.024436
-0.071069,-0.062629,-0.024436
-0.054427,0.038096,-0.024436
-0.04538,0.13882,-0.024436
-0.042236,0.23955,-0.024436
-0.036396,0.34027,-0.024436
-0.049872,0.441,-0.024436
-0.047467,0.54172,-0.024436
-0.067678,0.64245,-0.024436
-0.087331,0.74317,-0.024436
-0.092809,-0.16335,0.018153
-0.070541,-0.062629,0.018153
-0.055524,0.038096,0.018153
-0.046132,0.13882,0.018153
-0.042913,0.23955,0.018153
-0.03294,0.34027,0.018153
-0.050933,0.441,0.018153
-0.048673,0.54172,0.018153
-0.069371,0.64245,0.018153
-0.093143,0.74317,0.018153
-0.070424,-0.16335,0.060741
-0.07477,-0.062629,0.060741
-0.0547,0.038096,0.060741
-0.047224,0.13882,0.060741
-0.043045,0.23955,0.060741
-0.034682,0.34027,0.060741
-0.0501,0.441,0.060741
-0.051599,0.54172,0.060741
-0.074193,0.64245,0.060741
-0.10376,0.74317,0.060741
-0.060869,-0.16335,0.10333
-0.076961,-0.062629,0.10333
-0.055761,0.038096,0.10333
-0.05094,0.13882,0.10333
-0.044393,0.23955,0.10333
-0.043356,0.34027,0.10333
-0.053147,0.441,0.10333
-0.056232,0.54172,0.10333
-0.090651,0.64245,0.10333
-0.12156,0.74317,0.10333
-0.052345,-0.16335,0.14592
-0.077007,-0.062629,0.14592
-0.055669,0.038096,0.14592
-0.051029,0.13882,0.14592
-0.045126,0.23955,0.14592
-0.052347,0.34027,0.14592
-0.054403,0.441,0.14592
-0.063633,0.54172,0.14592
-0.087987,0.64245,0.14592
-0.11722,0.74317,0.14592
-0.042969,-0.16335,0.18851
-0.075105,-0.062629,0.18851
-0.056821,0.038096,0.18851
-0.051978,0.13882,0.18851
-0.048986,0.23955,0.18851
-0.056126,0.34027,0.18851
-0.057997,0.441,0.18851
-0.073678,0.54172,0.18851
-0.09341,0.64245,0.18851
-0.12052,0.74317,0.18851
